pl_name,mass,vx,vy,vz,x,y,z,Cluster,centroid_mass,centroid_x,centroid_y,centroid_z
HD_165131_b,5943.39121,2.57785,0.41697,7.0556,-0.00055,-1.16333,0.06895,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_166724_b,1207.74795,-2.53241,-2.47536,-5.91112,-0.12911,1.34335,-0.50723,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_167677_b,905.81096,1.93518,-3.84698,1.13317,-1.79353,-1.18453,-0.95842,0,9333.03117,-5.00373,6.4406,-8.27413
HD_168443_c,5500.33841,0.32683,4.18799,1.90528,-0.12438,-0.92025,2.04414,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_168863_b,2154.8766,1.15208,1.55057,-1.23574,-3.58017,6.54476,4.8744,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_16905_b,3591.461,-1.80525,4.33085,-1.23987,2.14725,0.38526,-1.78066,0,9333.03117,-5.00373,6.4406,-8.27413
HD_169830_c,2437.42605,2.71258,-3.48341,1.31286,-1.60977,-1.51617,-0.69681,0,9333.03117,-5.00373,6.4406,-8.27413
HD_171238_b,2796.88998,-0.32576,4.95994,-0.19838,1.85605,0.14748,0.63937,0,9333.03117,-5.00373,6.4406,-8.27413
HD_17156_b,1115.5833,22.96608,-20.05671,-18.53512,0.01883,-0.01953,0.04447,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_175167_b,2037.59792,-0.91732,-1.14051,7.29765,-0.26115,-1.03895,-0.1952,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_18015_b,1048.83374,-2.51407,2.70807,-0.30166,1.03918,0.62315,-3.06653,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_181234_b,2980.91263,2.02753,5.39322,-0.53497,-0.22499,0.28323,2.00259,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_18143_c,3177.64841,-1.5578,0.60619,0.73619,2.05188,12.6075,-6.0394,0,9333.03117,-5.00373,6.4406,-8.27413
HD_183263_c,2958.98247,-0.57046,-2.44942,1.22609,-2.11062,-1.77424,-4.52649,0,9333.03117,-5.00373,6.4406,-8.27413
HD_183579_b,20.4,-7.26115,-16.87309,-0.0,-0.00177,0.00076,-0.12412,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_185283_b,413.17693,-1.32866,-2.78379,0.59949,-0.28285,-0.76921,-4.19876,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_18599_b,24.1,-2.46969,0.02081,40.78918,-0.02262,0.02214,-0.00138,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_188641_b,9333.03117,-1.0754,-1.45704,-0.48382,-5.00373,6.4406,-8.27413,0,9333.03117,-5.00373,6.4406,-8.27413
HD_189733_b,359.1479,8.25879,9.26091,33.30065,-0.01405,-0.02581,0.01066,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_190228_b,1598.67689,3.92438,6.4574,-0.95239,-0.0108,0.16123,1.04867,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_190360_b,572.09113,1.409,0.96036,4.20054,-1.10139,-2.16033,0.86335,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_190984_b,1137.8257,-0.27873,-3.79971,3.41938,-1.48272,-1.1712,-1.42234,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_191806_b,2966.61035,1.00904,-1.88621,4.1903,-1.23387,-1.71278,-0.47386,0,9333.03117,-5.00373,6.4406,-8.27413
HD_191939_b,10.0,1.69615,1.28901,22.75751,-0.04095,-0.06593,0.00679,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_191939_c,8.0,-8.23505,-13.16736,0.0,-0.00225,0.00141,-0.16922,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_191939_d,2.8,2.02877,3.01603,13.55752,-0.10542,-0.16944,0.05347,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_191939_e,112.2,-4.25175,-6.51979,-6.52839,0.1286,0.21857,-0.30204,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_192310_b,16.9,0.85883,1.28153,-12.56421,0.15383,0.22955,0.03393,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_192310_c,24.0,4.21585,6.2908,-2.75628,0.15278,0.22798,0.75401,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_194490_b,3561.90296,-1.46376,-1.92023,-0.3193,-2.98119,3.43234,-6.97509,0,9333.03117,-5.00373,6.4406,-8.27413
HD_196050_b,1493.79351,-2.99551,1.83852,-3.16118,1.07046,1.82923,0.04951,0,9333.03117,-5.00373,6.4406,-8.27413
HD_196067_b,3972.85509,-1.85708,4.78687,-3.46887,1.30015,0.93371,0.59243,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_202206_c,5689.157,0.10844,-5.05926,0.11777,-1.8628,-0.0457,-0.24804,0,9333.03117,-5.00373,6.4406,-8.27413
HD_202696_b,634.38868,-1.41518,-1.22048,-4.71998,1.09049,0.94046,-0.57014,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_202696_c,592.43512,2.18882,1.88767,-3.07793,1.25666,1.08376,1.55832,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_202772_A_b,323.23311,21.31081,18.6567,-3.962,0.00839,0.00091,0.04939,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_203387_c,2378.94563,1.20807,3.20467,0.08011,-3.53255,1.29464,1.48142,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_204313_b,1466.7781,-2.67305,-2.61198,1.08715,-1.15809,0.09449,-2.62044,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_204313_e,4868.17771,1.03915,-2.79156,-0.08732,5.20701,1.94902,-0.34277,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_206893_b,8899.1954,1.4293,-1.33356,-1.27669,5.51592,6.13842,-0.23659,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_206893_c,4036.42077,-0.34059,4.85393,1.74656,-1.91044,-0.39622,0.72861,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_207496_b,6.1,22.90682,13.49413,17.25966,-0.02207,-0.01441,0.04056,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_207897_b,14.8,15.08288,10.4847,0.0,0.00145,-0.00208,0.11697,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_20794_b,2.7,-0.0,-0.0,18.08532,-0.07758,0.09246,0.0,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_20794_c,2.4,-0.0,-0.0,13.92486,-0.13087,0.15597,0.0,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_20794_d,4.8,-0.0,-0.0,10.62204,-0.22491,0.26804,0.0,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_209458_b,232.0159,0.81199,-1.45019,28.91288,-0.04107,-0.023,0.0,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_213240_b,1655.886,-3.68093,1.62456,-5.91196,0.84687,0.59309,-0.36431,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_214823_b,5914.78665,3.42656,0.84894,-2.29672,1.21855,0.82665,2.12355,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_215497_c,111.23994,5.80655,1.92565,6.7942,-0.48974,-0.16241,0.46458,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_216437_b,1334.87931,3.34613,4.06261,1.20943,-1.31547,0.82994,0.85166,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_217786_b,4402.55909,5.17793,1.74846,-0.91785,0.43674,-0.47631,1.55647,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_217958_b,166.54209,-3.50096,-0.89247,-1.15559,0.95551,0.16219,-3.02005,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_219077_b,3057.50928,5.87208,1.20346,3.84209,-0.72892,-0.1442,1.15922,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_219134_b,4.74,0.55868,-2.69652,31.79547,-0.03795,-0.00786,0.0,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_219134_c,4.36,24.16223,4.55941,8.93812,-0.01996,-0.00691,0.05749,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_219828_c,5102.41725,5.27993,-2.60262,-5.67614,0.79402,0.50601,0.50658,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
