pl_name,ra,dec,pl_orbincl,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_orblper,pl_orbper,pl_Omega,vx,vy,vz,x,y,z
HD_80913_b,138.1021548,-81.768451,22.331,7505.2,9.95,0.313,96.716,10839.83341,67.04730870152899,-0.7922,-2.63448,-0.12236,-6.09419,1.71274,2.57943
HD_81040_b,140.9455027,20.3646078,88.773,2151.06266,1.988,0.557,81.591,1005.98854,39.06092608847539,-6.43372,-5.18757,1.22145,0.08825,0.09564,0.87102
HD_81817_b,144.2715659,81.3263096,95.594,7668.5638,3.233,0.097,294.231,1021.20159,35.85819049104715,2.93682,1.93251,1.57321,0.81907,0.91219,-2.64952
HD_82943_b,143.7114034,-12.1302976,90.0,534.25,1.18306,0.162,300.9,441.47,36.2885966,4.70476,3.45455,3.49328,0.41038,0.30133,-0.85069
HD_82943_c,143.7114034,-12.1302976,90.0,622.603,0.74345,0.3663,117.2,220.078,36.2885966,-7.67097,-5.63254,-4.89096,-0.17358,-0.12746,0.41903
HD_86065_b,148.9256674,-18.1069385,29.821,2877.30057,15.947,0.219,142.418,25775.78859,50.47034877587046,0.27935,-1.78488,-0.77467,-11.36503,-3.41822,3.77744
HD_86226_c,149.1235154,-24.0991859,86.45,7.25,0.049,0.075,196.0,3.98442,30.92497809485115,8.17136,2.77216,-29.35774,-0.03698,-0.02305,-0.01247
HD_86264_b,149.2409308,-15.8953993,93.591,3117.26102,2.763,0.821,313.959,1488.79123,30.80858105105081,7.72241,3.99475,8.35244,0.28344,0.19498,-0.35532
HD_8673_b,21.5378455,34.5793389,95.45,4210.59074,2.97,0.73,323.459,1644.69097,158.37336077002527,-4.84843,2.67979,7.38114,-0.61563,0.1953,-0.47529
HD_87883_b,152.1794175,34.2419984,25.446,1719.13385,4.055,0.707,289.351,3309.22118,50.847034990582806,2.7391,6.93307,1.07222,1.03353,-0.33384,-0.48165
HD_88072_b,152.3467466,2.371054,169.626,2511.7979,13.895,0.156,272.477,18538.79293,71.03373650080658,0.71986,1.83659,0.01535,-10.73448,4.22504,-2.10981
HD_88133_b,152.5319349,18.1857284,15.0,324.1866,0.0479,0.031,43.0,3.414884,63.53293586293498,-27.72789,-8.75571,5.60536,-0.01224,0.04402,0.00819
HD_88986_b,154.1166869,28.6820708,89.9,17.2,0.58,0.24,306.0,146.05,25.883347373786123,7.66568,3.73152,6.19424,0.23338,0.11255,-0.35661
HD_89307_b,154.5874958,12.6209392,72.0,642.01338,3.27,0.2,14.0,2166.0,26.544522304924335,-1.4912,0.68138,3.92701,2.18333,1.3093,0.60189
HD_89345_b,154.6710977,10.1288464,87.21,34.9613,0.1066,0.22,-13.0,11.8143,25.35518984471015,4.4037,3.34997,23.42301,0.0736,0.03387,-0.01868
HD_89839_b,155.168879,-53.6640291,49.5,1592.32032,4.761,0.187,161.5,3441.0,31.32145500692802,0.17084,-2.40457,-2.50907,-3.55037,-1.22676,0.93392
HD_93351_c,161.6779279,-1.6885763,14.636,4154.01728,11.154,0.109,48.185,14010.2941,52.65493666038452,-2.02535,-0.42228,0.3536,-1.67796,9.61508,1.87157
